channel_name,total_subscribers,total_videos,total_views
NoCopyrightSounds ,33700000,1748,11243960968
DanTDM ,28900000,3719,19920756820
Dan Rhodes ,27100000,1668,18978150371
Miss Katy ,24900000,1105,15793118560
Mister Max ,24600000,1157,16177473513
KSI ,24100000,1252,6015064768
Dua Lipa ,23700000,280,13450948905
Jelly ,23600000,6514,15152088001
Sidemen ,21600000,368,6393188704
Mrwhosetheboss ,19200000,1713,5731206710
Ali-A ,19000000,4405,6566737844
Queen Official ,17800000,1222,11513905078
Gaby and Alex ,17200000,368,8776266008
Little Mix ,16400000,278,7917055024
BBC News ,16400000,22533,5472015389
JJ Olatunji ,16300000,1368,4314668349
Woody & Kleiny ,15700000,1187,14662835283
TommyInnit ,15000000,479,2444040146
BBC ,14300000,19917,10597802363
Awakening Music ,14200000,957,6030129589
F2Freestylers - Ultimate Soccer Skills Channel ,14100000,782,3359812382
Rhia Official ,13400000,959,6275649152
DisneyChannelUK ,13100000,4544,13587184483
colinfurze ,13000000,403,1786523055
Morgz ,12700000,850,3548777935
DisneyJuniorUK ,12600000,3088,12729810626
Sing King ,12300000,4495,8259671339
Jeremy Lynch ,12300000,818,6610429478
Shaun the Sheep ,12200000,959,6576982251
Jungle Beat ,11900000,880,6007251641
Moonbug Kids - Kids Learning Videos ,11900000,1656,8821496823
Slogo ,11800000,6461,9072178866
BBC News ?????,11700000,41482,4980948519
Tiana ,11400000,1047,3249842878
English with Lucy ,11300000,397,519982213
Emily Tube ,11100000,725,3758275181
Gorillaz ,11100000,363,5988319908
Jessie J ,10600000,96,5853755808
Classic Mr Bean ,10500000,1828,3451818579
Liverpool FC ,10200000,6772,2850981253
Syndicate ,9600000,3530,2134928666
WildBrain Kids ,9480000,5201,4543479904
carwow ,9470000,2781,4081663593
Mumbo Jumbo ,9400000,2091,3100659238
Julius Dein ,9280000,385,2505659998
Manchester United ,9250000,4268,2355134977
The X Factor UK ,9180000,5560,7025090834
RubyandBonnie ,9150000,655,5391782154
Top Gear ,9040000,1921,4032367611
Cartoons for Kids ,9030000,2583,3435115799
MoreSidemen ,8720000,1075,4557845737
Daz Games ,8690000,1593,2774383696
Grian ,8580000,763,2496925599
The Beatles ,8420000,325,7167696352
BBC Radio 1 ,8280000,4933,3776701542
24 News HD ,8070000,173321,3586019497
Sky News ,7930000,50853,4564449357
PlayToys ,7840000,973,3071748953
ARPO The Robot ,7740000,1428,3299094347
Niko Omilana ,7640000,142,637637054
Vikkstar123 ,7600000,5057,2166193823
Man City ,7580000,8503,2063263761
Boomerang UK ,7540000,2442,3754729947
Passenger ,7460000,391,4613683491
James Arthur ,7460000,226,4545348558
TomSka ,7350000,180,2100903883
LDShadowLady ,7210000,1079,3466648347
Mrwhosetheboss Shorts ,7130000,186,3790444618
Nickelodeon UK ,7120000,3330,7563396138
YOGSCAST Lewis & Simon ,7060000,6638,4588736127
Pingu - Official Channel ,7010000,674,2843342269
Mark Ronson ,6910000,20,6653771118
MessYourself ,6870000,1068,2576306106
BBC Learning English ,6860000,3689,356115328
Russell Brand ,6850000,2990,1368773455
CGP Grey ,6420000,188,1052202438
GRM Daily ,6390000,15021,7671574736
Real Stories ,6370000,1126,1182164948
Simon's Cat ,6270000,518,1602597323
UKF Dubstep ,6240000,1772,2131784419
Capital FM ,6190000,2681,3625408208
TGFbro ,6160000,472,1468019935
ChrisMD ,6080000,514,1583111388
Jamie Oliver ,5950000,2166,973455246
Tiana Wilson ,5860000,429,1646994912
Wilbur Soot ,5740000,139,797990199
Jarvis ,5670000,746,1718340741
Space Videos ,5630000,127,115536214
Thoughty2 ,5450000,841,1059623046
Dumori Bay ,5320000,225,1134027
Joe Weller ,5300000,322,1019840656
Wisp ,5300000,539,1117245497
More Emily ,5270000,634,1481006177
TheDadLab ,5190000,839,2986253866
WillNE ,5050000,306,867407332
Behzinga ,4960000,872,581230567
Max and Katy ,4710000,510,1317406373
Zerkaa ,4710000,2029,865527883
Roxxsaurus ,4570000,971,545007068
Ben Phillips ,4540000,864,1277987676